t,x,y,z,vx,vy,vz,wx,wy,wz,event
0.070000,-0.759790,0.000000,1.171725,5.725393,0.000000,1.199894,0.000000,120.000000,0.000000,0
0.071000,-0.754067,0.000000,1.172919,5.721681,0.000000,1.188790,0.000000,120.000000,0.000000,0
0.072000,-0.748347,0.000000,1.174102,5.717974,0.000000,1.177693,0.000000,120.000000,0.000000,0
0.073000,-0.742631,0.000000,1.175274,5.714273,0.000000,1.166605,0.000000,120.000000,0.000000,0
0.074000,-0.736918,0.000000,1.176436,5.710577,0.000000,1.155526,0.000000,120.000000,0.000000,0
0.075000,-0.731209,0.000000,1.177586,5.706887,0.000000,1.144455,0.000000,120.000000,0.000000,0
0.076000,-0.725504,0.000000,1.178724,5.703201,0.000000,1.133393,0.000000,120.000000,0.000000,0
0.077000,-0.719803,0.000000,1.179852,5.699521,0.000000,1.122338,0.000000,120.000000,0.000000,0
0.078000,-0.714105,0.000000,1.180969,5.695846,0.000000,1.111293,0.000000,120.000000,0.000000,0
0.079000,-0.708411,0.000000,1.182075,5.692177,0.000000,1.100255,0.000000,120.000000,0.000000,0
0.080000,-0.702721,0.000000,1.183170,5.688512,0.000000,1.089226,0.000000,120.000000,0.000000,0
0.081000,-0.697034,0.000000,1.184253,5.684853,0.000000,1.078206,0.000000,120.000000,0.000000,0
0.082000,-0.691351,0.000000,1.185326,5.681198,0.000000,1.067193,0.000000,120.000000,0.000000,0
0.083000,-0.685672,0.000000,1.186388,5.677549,0.000000,1.056189,0.000000,120.000000,0.000000,0
0.084000,-0.679996,0.000000,1.187438,5.673905,0.000000,1.045193,0.000000,120.000000,0.000000,0
0.085000,-0.674324,0.000000,1.188478,5.670266,0.000000,1.034205,0.000000,120.000000,0.000000,0
0.086000,-0.668656,0.000000,1.189507,5.666632,0.000000,1.023226,0.000000,120.000000,0.000000,0
0.087000,-0.662991,0.000000,1.190525,5.663002,0.000000,1.012254,0.000000,120.000000,0.000000,0
0.088000,-0.657330,0.000000,1.191531,5.659378,0.000000,1.001291,0.000000,120.000000,0.000000,0
0.089000,-0.651672,0.000000,1.192527,5.655759,0.000000,0.990336,0.000000,120.000000,0.000000,0
0.090000,-0.646018,0.000000,1.193512,5.652145,0.000000,0.979389,0.000000,120.000000,0.000000,0
0.091000,-0.640368,0.000000,1.194486,5.648536,0.000000,0.968450,0.000000,120.000000,0.000000,0
0.092000,-0.634721,0.000000,1.195449,5.644931,0.000000,0.957519,0.000000,120.000000,0.000000,0
0.093000,-0.629078,0.000000,1.196401,5.641331,0.000000,0.946596,0.000000,120.000000,0.000000,0
0.094000,-0.623438,0.000000,1.197342,5.637737,0.000000,0.935681,0.000000,120.000000,0.000000,0
0.095000,-0.617802,0.000000,1.198272,5.634147,0.000000,0.924774,0.000000,120.000000,0.000000,0
0.096000,-0.612170,0.000000,1.199192,5.630562,0.000000,0.913875,0.000000,120.000000,0.000000,0
0.097000,-0.606541,0.000000,1.200100,5.626981,0.000000,0.902984,0.000000,120.000000,0.000000,0
0.098000,-0.600916,0.000000,1.200998,5.623406,0.000000,0.892101,0.000000,120.000000,0.000000,0
0.099000,-0.595294,0.000000,1.201884,5.619835,0.000000,0.881226,0.000000,120.000000,0.000000,0
0.100000,-0.589676,0.000000,1.202760,5.616269,0.000000,0.870359,0.000000,120.000000,0.000000,0
0.101000,-0.584062,0.000000,1.203625,5.612707,0.000000,0.859500,0.000000,120.000000,0.000000,0
0.102000,-0.578451,0.000000,1.204479,5.609150,0.000000,0.848648,0.000000,120.000000,0.000000,0
0.103000,-0.572844,0.000000,1.205322,5.605598,0.000000,0.837805,0.000000,120.000000,0.000000,0
0.104000,-0.567240,0.000000,1.206155,5.602050,0.000000,0.826969,0.000000,120.000000,0.000000,0
0.105000,-0.561640,0.000000,1.206976,5.598507,0.000000,0.816141,0.000000,120.000000,0.000000,0
0.106000,-0.556043,0.000000,1.207787,5.594969,0.000000,0.805320,0.000000,120.000000,0.000000,0
0.107000,-0.550450,0.000000,1.208587,5.591435,0.000000,0.794508,0.000000,120.000000,0.000000,0
0.108000,-0.544860,0.000000,1.209376,5.587906,0.000000,0.783703,0.000000,120.000000,0.000000,0
0.109000,-0.539274,0.000000,1.210154,5.584381,0.000000,0.772906,0.000000,120.000000,0.000000,0
0.110000,-0.533691,0.000000,1.210922,5.580861,0.000000,0.762116,0.000000,120.000000,0.000000,0
0.111000,-0.528112,0.000000,1.211679,5.577345,0.000000,0.751334,0.000000,120.000000,0.000000,0
0.112000,-0.522536,0.000000,1.212425,5.573833,0.000000,0.740560,0.000000,120.000000,0.000000,0
0.113000,-0.516964,0.000000,1.213160,5.570326,0.000000,0.729794,0.000000,120.000000,0.000000,0
0.114000,-0.511396,0.000000,1.213884,5.566824,0.000000,0.719035,0.000000,120.000000,0.000000,0
0.115000,-0.505831,0.000000,1.214598,5.563326,0.000000,0.708283,0.000000,120.000000,0.000000,0
0.116000,-0.500269,0.000000,1.215301,5.559832,0.000000,0.697540,0.000000,120.000000,0.000000,0
0.117000,-0.494711,0.000000,1.215993,5.556342,0.000000,0.686803,0.000000,120.000000,0.000000,0
0.118000,-0.489156,0.000000,1.216674,5.552857,0.000000,0.676075,0.000000,120.000000,0.000000,0
0.119000,-0.483605,0.000000,1.217345,5.549376,0.000000,0.665353,0.000000,120.000000,0.000000,0
0.120000,-0.478058,0.000000,1.218005,5.545899,0.000000,0.654640,0.000000,120.000000,0.000000,0
0.121000,-0.472514,0.000000,1.218654,5.542427,0.000000,0.643933,0.000000,120.000000,0.000000,0
0.122000,-0.466973,0.000000,1.219293,5.538959,0.000000,0.633235,0.000000,120.000000,0.000000,0
0.123000,-0.461436,0.000000,1.219921,5.535495,0.000000,0.622543,0.000000,120.000000,0.000000,0
0.124000,-0.455902,0.000000,1.220538,5.532035,0.000000,0.611859,0.000000,120.000000,0.000000,0
0.125000,-0.450372,0.000000,1.221144,5.528580,0.000000,0.601183,0.000000,120.000000,0.000000,0
0.126000,-0.444845,0.000000,1.221740,5.525128,0.000000,0.590514,0.000000,120.000000,0.000000,0
0.127000,-0.439321,0.000000,1.222325,5.521681,0.000000,0.579852,0.000000,120.000000,0.000000,0
0.128000,-0.433801,0.000000,1.222900,5.518238,0.000000,0.569198,0.000000,120.000000,0.000000,0
0.129000,-0.428285,0.000000,1.223464,5.514799,0.000000,0.558550,0.000000,120.000000,0.000000,0
0.130000,-0.422772,0.000000,1.224017,5.511364,0.000000,0.547911,0.000000,120.000000,0.000000,0
0.131000,-0.417262,0.000000,1.224560,5.507933,0.000000,0.537278,0.000000,120.000000,0.000000,0
0.132000,-0.411756,0.000000,1.225092,5.504506,0.000000,0.526653,0.000000,120.000000,0.000000,0
0.133000,-0.406253,0.000000,1.225613,5.501083,0.000000,0.516035,0.000000,120.000000,0.000000,0
0.134000,-0.400754,0.000000,1.226124,5.497664,0.000000,0.505424,0.000000,120.000000,0.000000,0
0.135000,-0.395258,0.000000,1.226624,5.494249,0.000000,0.494821,0.000000,120.000000,0.000000,0
0.136000,-0.389765,0.000000,1.227113,5.490838,0.000000,0.484225,0.000000,120.000000,0.000000,0
0.137000,-0.384276,0.000000,1.227592,5.487431,0.000000,0.473635,0.000000,120.000000,0.000000,0
0.138000,-0.378790,0.000000,1.228061,5.484028,0.000000,0.463054,0.000000,120.000000,0.000000,0
0.139000,-0.373308,0.000000,1.228518,5.480629,0.000000,0.452479,0.000000,120.000000,0.000000,0
0.140000,-0.367829,0.000000,1.228966,5.477233,0.000000,0.441911,0.000000,120.000000,0.000000,0
