t,x,y,z,vx,vy,vz,wx,wy,wz,event
0.009200,-1.096000,0.000000,0.299585,-0.000026,0.000000,-0.090249,0.000000,80.000000,0.000000,0
0.009300,-1.096000,0.000000,0.299576,-0.000026,0.000000,-0.091230,0.000000,80.000000,0.000000,0
0.009400,-1.096000,0.000000,0.299567,-0.000027,0.000000,-0.092211,0.000000,80.000000,0.000000,0
0.009500,-1.096000,0.000000,0.299557,-0.000027,0.000000,-0.093192,0.000000,80.000000,0.000000,0
0.009600,-1.096000,0.000000,0.299548,-0.000028,0.000000,-0.094173,0.000000,80.000000,0.000000,0
0.009700,-1.096000,0.000000,0.299538,-0.000028,0.000000,-0.095154,0.000000,80.000000,0.000000,0
0.009800,-1.096000,0.000000,0.299529,-0.000029,0.000000,-0.096135,0.000000,80.000000,0.000000,0
0.009900,-1.096000,0.000000,0.299519,-0.000030,0.000000,-0.097116,0.000000,80.000000,0.000000,0
0.010000,-1.096000,0.000000,0.299510,-0.000030,0.000000,-0.098097,0.000000,80.000000,0.000000,0
0.010100,-1.096000,0.000000,0.299500,-0.000031,0.000000,-0.099077,0.000000,80.000000,0.000000,0
0.010200,-1.096000,0.000000,0.299490,-0.000031,0.000000,-0.100058,0.000000,80.000000,0.000000,0
0.010300,-1.096000,0.000000,0.299480,-0.000032,0.000000,-0.101039,0.000000,80.000000,0.000000,0
0.010400,-1.096000,0.000000,0.299469,-0.000033,0.000000,-0.102020,0.000000,80.000000,0.000000,0
0.010500,-1.096000,0.000000,0.299459,-0.000033,0.000000,-0.103001,0.000000,80.000000,0.000000,0
0.010600,-1.096000,0.000000,0.299449,-0.000034,0.000000,-0.103982,0.000000,80.000000,0.000000,0
0.010700,-1.096000,0.000000,0.299438,-0.000035,0.000000,-0.104963,0.000000,80.000000,0.000000,0
0.010800,-1.096000,0.000000,0.299428,-0.000035,0.000000,-0.105944,0.000000,80.000000,0.000000,0
0.010900,-1.096000,0.000000,0.299417,-0.000036,0.000000,-0.106924,0.000000,80.000000,0.000000,0
0.011000,-1.096000,0.000000,0.299407,-0.000036,0.000000,-0.107905,0.000000,80.000000,0.000000,0
0.011100,-1.096000,0.000000,0.299396,-0.000037,0.000000,-0.108886,0.000000,80.000000,0.000000,0
0.011200,-1.096000,0.000000,0.299385,-0.000038,0.000000,-0.109867,0.000000,80.000000,0.000000,0
0.011300,-1.096000,0.000000,0.299374,-0.000038,0.000000,-0.110848,0.000000,80.000000,0.000000,0
0.011400,-1.096000,0.000000,0.299363,-0.000039,0.000000,-0.111829,0.000000,80.000000,0.000000,0
0.011500,-1.096000,0.000000,0.299351,-0.000040,0.000000,-0.112810,0.000000,80.000000,0.000000,0
0.011600,-1.096000,0.000000,0.299340,-0.000041,0.000000,-0.113791,0.000000,80.000000,0.000000,0
0.011700,-1.096000,0.000000,0.299329,-0.000041,0.000000,-0.114771,0.000000,80.000000,0.000000,0
0.011800,-1.096000,0.000000,0.299317,-0.000042,0.000000,-0.115752,0.000000,80.000000,0.000000,0
